

         tot_reg 

             239


     tot_reg_dif 

             218


import liq   pedido            val_liq          val_ctb          val_dif 
65     74    A-5562   26064.6773796585 26065.5800000000    -0.9026203415
81     95    A-5584   100353.165737494 100353.940000000    -0.7742625065
67     76    A-5576   12634.9843946316 12635.6600000000    -0.6756053684
85     100   A-5585    9165.1774999820  9165.8000000000    -0.6225000180
163    180   A-5670   28710.2937960826 28710.7800000000    -0.4862039174
34     34    A-5536   173106.660000037 173107.100000000    -0.4399999626
103    118   A-5600   124459.615646615 124460.050000000    -0.4343533847
147    163   A-5649   57639.6299999924 57640.0300000000    -0.4000000076
159    176   A-5658   81112.6075139241 81112.9500000000    -0.3424860759
125    141   A-5630   21569.2397849730 21569.5800000000    -0.3402150270
190    207   A-5694   61699.0333690573 61699.3700000000    -0.3366309427
22     22    A-5530   14344.9236007581 14345.2300000000    -0.3063992419
75     86    A-5583   12947.7180000000 12948.0000000000    -0.2820000000
161    178   A-5667   21349.5721816489 21349.8200000000    -0.2478183511
90     105   A-5593   91808.6705937665 91808.8800000000    -0.2094062335
59     66    A-5564   23969.8061617200 23970.0000000000    -0.1938382800
26     26    A-5539    2093.8300000000  2094.0000000000    -0.1700000000
169    186   A-5680   109637.717717667 109637.880000000    -0.1622823328
215    233   A-5720   129125.568006323 129125.730000000    -0.1619936766
86     101   A-5588   34823.8239908254 34823.9700000000    -0.1460091746
226    244   A-5733   130007.567716223 130007.700000000    -0.1322837768
143    159   A-5645   138332.330000000 138332.450000000    -0.1199999996
104    119   A-5606   18231.6058594039 18231.7200000000    -0.1141405961
238    256   A-5740   154025.640000009 154025.740000000    -0.0999999915
133    149   A-5624   61437.2987287972 61437.3800000000    -0.0812712028
200    217   A-5702   32171.1399999942 32171.2100000000    -0.0700000058
57     64    A-5571    4234.2575000014  4234.3200000000    -0.0624999986
82     96    A-5573   39893.6510000015 39893.7100000000    -0.0589999985
72     82    A-5572    9730.4199999994  9730.4700000000    -0.0500000006
41     43    A-5554   128130.673682263 128130.720000000    -0.0463177366
92     107   A-5594   46309.8158141120 46309.8600000000    -0.0441858880
195    212   A-5687   69468.3492836796 69468.3900000000    -0.0407163204
76     87    A-5518    5625.8600000011  5625.9000000000    -0.0399999989
201    218   A-5719   29672.5845615357 29672.6200000000    -0.0354384643
52     58    A-5545   13609.1156717427 13609.1500000000    -0.0343282573
78     91    A-5586   10203.0314999998 10203.0600000000    -0.0285000002
189    206   A-5698    3079.7459999994  3079.7700000000    -0.0240000006
142    158   A-5656     475.6300000000   475.6500000000    -0.0200000000
88     103   A-5587   17961.7422066995 17961.7600000000    -0.0177933005
106    121   A-5612    2140.4864999992  2140.5000000000    -0.0135000008
162    179   A-5671    9281.5669999992  9281.5800000000    -0.0130000008
98     113   A-5614     202.5369999999   202.5500000000    -0.0130000001
180    197   A-5695    1451.3774302733  1451.3900000000    -0.0125697267
205    222   A-5731    8313.8385000000  8313.8500000000    -0.0115000000
164    181   A-5668    7635.0399999997  7635.0500000000    -0.0100000003
176    193   A-5686   16851.1699999998 16851.1800000000    -0.0100000002
46     48    A-5558     117.7500000000   117.7600000000    -0.0100000000
144    160   A-5654    1649.4100000000  1649.4200000000    -0.0100000000
157    173   A-5675     176.8900000000   176.9000000000    -0.0100000000
175    192   A-5673    2336.5515000000  2336.5600000000    -0.0085000000
188    205   A-5696    3652.3629999990  3652.3700000000    -0.0070000010
229    246   A-5732    7201.1943969636  7201.2000000000    -0.0056030364
134    150   A-5640    4768.4644999998  4768.4700000000    -0.0055000002
138    154   A-5648   12739.2445089777 12739.2500000000    -0.0054910223
94     109   A-5610    2203.7550000000  2203.7600000000    -0.0050000000
181    198   A-5697    4511.5050000000  4511.5100000000    -0.0050000000
55     60    A-5560   158059.845268834 158059.850000000    -0.0047311664
102    117   A-5592    4368.8955000000  4368.9000000000    -0.0045000000
233    251   A-5758    7267.7255000000  7267.7300000000    -0.0045000000
241    259   A-5764    4340.8855000000  4340.8900000000    -0.0045000000
123    138   A-5632    4636.1459912887  4636.1500000000    -0.0040087113
132    148   A-5633   10914.2265000000 10914.2300000000    -0.0035000000
63     70    A-5559   59275.6567216182 59275.6600000000    -0.0032783818
117    132   A-5628     139.5369999999   139.5400000000    -0.0030000001
206    223   A-5730     242.2869999999   242.2900000000    -0.0030000001
199    216   A-5721     997.5170000000   997.5200000000    -0.0030000000
225    243   A-5751     595.0370000000   595.0400000000    -0.0030000000
101    116   A-5598   12234.6775000000 12234.6800000000    -0.0025000000
228    247   A-5744    7872.2478997487  7872.2500000000    -0.0021002513
191    208   A-5710    4160.3085000000  4160.3100000000    -0.0015000000
107    122   A-5622     213.3090000000   213.3100000000    -0.0010000000
118    133   A-5629    1777.1490000000  1777.1500000000    -0.0010000000
120    135   A-5631     871.8090000000   871.8100000000    -0.0010000000
45     44    A-5542    1943.8395000000  1943.8400000000    -0.0005000000
220    238   A-5749   11384.3599999990 11384.3600000000    -0.0000000010
166    183   A-5681     150.2699999997   150.2700000000    -0.0000000003
47     49    A-5565      84.8700000001    84.8700000000     0.0000000001
148    164   A-5664     817.9400699902   817.9400000000     0.0000699902
114    129   A-5626     993.7805000000   993.7800000000     0.0005000000
126    142   A-5639    4513.2605000000  4513.2600000000     0.0005000000
70     78    A-5578    5252.8810000000  5252.8800000000     0.0010000000
192    209   A-5712    2896.3010000000  2896.3000000000     0.0010000000
89     104   A-5603    4400.3114999999  4400.3100000000     0.0014999999
194    211   A-5714   13889.4917991195 13889.4900000000     0.0017991195
139    155   A-5642   13601.0219999997 13601.0200000000     0.0019999997
204    221   A-5729    3914.3925000000  3914.3900000000     0.0025000000
122    137   A-5636     426.9227347240   426.9200000000     0.0027347240
239    257   A-5748    3669.0627536282  3669.0600000000     0.0027536282
182    199   A-5689   10316.9728528344 10316.9700000000     0.0028528344
141    157   A-5655    1297.3730000000  1297.3700000000     0.0030000000
232    250   A-5760     535.4436035880   535.4400000000     0.0036035880
183    200   A-5692   11359.2043190194 11359.2000000000     0.0043190194
219    237   A-5734    3967.7843289180  3967.7800000000     0.0043289180
208    225   A-5724    2444.1649999998  2444.1600000000     0.0049999998
38     40    A-5561     174.9162300979   174.9100000000     0.0062300979
127    143   A-5621    9707.7468230321  9707.7400000000     0.0068230321
174    191   A-5685    1867.7579999998  1867.7500000000     0.0079999998
209    226   A-5723    7251.9584999997  7251.9500000000     0.0084999997
178    195   A-5684     186.7290000000   186.7200000000     0.0090000000
124    140   A-5637     156.8497532390   156.8400000000     0.0097532390
152    168   A-5660   11804.5299999986 11804.5200000000     0.0099999986
36     35    A-5548    1851.0099999992  1851.0000000000     0.0099999992
231    249   A-5757      60.6900000001    60.6800000000     0.0100000001
234    252   A-5753    1135.6115792385  1135.6000000000     0.0115792385
73     83    A-5580   174078.961603322 174078.950000000     0.0116033218
110    125   A-5617   27589.2644406257 27589.2500000000     0.0144406257
170    188   A-5688     807.0146756760   807.0000000000     0.0146756760
130    146   A-5627   101651.585300514 101651.570000000     0.0153005135
167    184   A-5682    3058.1554344548  3058.1400000000     0.0154344548
146    162   A-5662    1464.5065000002  1464.4900000000     0.0165000002
113    128   A-5620    2567.7380000000  2567.7200000000     0.0180000000
217    235   A-5726   111911.588427682 111911.570000000     0.0184276818
179    196   A-5691     567.4190000000   567.4000000000     0.0190000000
91     106   A-5607    1898.6599999998  1898.6400000000     0.0199999998
165    182   A-5683     305.2700000000   305.2500000000     0.0200000000
155    171   A-5669     212.3000000004   212.2800000000     0.0200000004
87     102   A-5605     927.3500000008   927.3300000000     0.0200000008
216    234   A-5739     848.0420000002   848.0200000000     0.0220000002
96     111   A-5609    4682.0276700760  4682.0000000000     0.0276700760
203    220   A-5711   17033.5897048386 17033.5600000000     0.0297048386
121    136   A-5634    1395.3700000000  1395.3400000000     0.0300000000
214    232   A-5713   23380.0500000012 23380.0200000000     0.0300000012
207    224   A-5725    8729.5776386744  8729.5400000000     0.0376386744
84     99    A-5591   132380.319856457 132380.280000000     0.0398564569
93     108   A-5595   28232.3429184382 28232.3000000000     0.0429184382
83     97    A-5597     103.1899999998   103.1400000000     0.0499999998
29     29    A-5543     657.9800000001   657.9300000000     0.0500000001
60     67    A-5575     287.0600000000   287.0000000000     0.0600000000
80     94    A-5582    3400.6209999984  3400.5600000000     0.0609999984
105    120   A-5599   89215.0718759928 89215.0100000000     0.0618759928
210    227   A-5701   41917.3519893303 41917.2900000000     0.0619893303
49     51    A-5556   11247.5700000011 11247.5000000000     0.0700000011
71     79    A-5544   78546.7805262704 78546.7100000000     0.0705262704
69     77    A-5577     626.3580105810   626.2800000000     0.0780105810
202    219   A-5700   87039.8794158496 87039.8000000000     0.0794158496
108    123   A-5615   15634.7199999983 15634.6400000000     0.0799999983
35     36    A-5552    1651.4300000002  1651.3500000000     0.0800000002
140    156   A-5646   41460.4248587886 41460.3400000000     0.0848587886
236    255   A-5728   106421.947577174 106421.860000000     0.0875771739
235    253   A-5750    8094.4894118510  8094.4000000000     0.0894118510
173    190   A-5672   105586.839999995 105586.750000000     0.0899999951
243    261   A-5746   119139.090177734 119139.000000000     0.0901777342
30     30    A-5533   33966.0603450888 33965.9500000000     0.1103450888
213    231   A-5722   41455.4732071200 41455.3500000000     0.1232071200
48     50    A-5549   77973.4099999966 77973.2800000000     0.1299999966
222    240   A-5736   56607.8480128527 56607.7100000000     0.1380128527
230    248   A-5747    4740.7584493927  4740.6200000000     0.1384493927
137    153   A-5641   53054.1905930590 53054.0500000000     0.1405930590
185    202   A-5679   98695.3005263690 98695.1500000000     0.1505263690
79     93    A-5581   38697.4882148566 38697.3300000000     0.1582148566
40     42    A-5557    3479.1600000000  3479.0000000000     0.1600000000
177    194   A-5677   93677.0597202815 93676.8900000000     0.1697202815
42     45    A-5541   53546.1700000037 53545.9900000000     0.1800000037
100    115   A-5602   16085.3821461156 16085.2000000000     0.1821461156
97     112   A-5611    2166.3373614363  2166.1500000000     0.1873614363
171    187   A-5674   101814.328451107 101814.140000000     0.1884511070
242    260   A-5756   85051.6439991290 85051.4400000000     0.2039991290
32     31    A-5514   22073.7299999972 22073.5000000000     0.2299999972
198    215   A-5706   33810.3099999814 33810.0600000000     0.2499999814
244    262   A-5759   113465.871639019 113465.610000000     0.2616390191
151    167   A-5651   163687.901116730 163687.580000000     0.3211167296
31     32    A-5515   54596.6599998965 54596.2700000000     0.3899998965
111    126   A-5613   151416.943868956 151416.480000000     0.4638689561
116    131   A-5616   41074.3828431480 41073.7500000000     0.6328431480
99     114   A-5604   173914.631794982 173913.980000000     0.6517949818
153    169   A-5652   176930.334669011 176929.660000000     0.6746690109
149    165   A-5653   31072.1400000105 31071.4500000000     0.6900000105
136    152   A-5638    6187.7999999950  6187.0000000000     0.7999999950
109    124   A-5618   35083.8699999733 35083.0500000000     0.8199999733
224    242   A-5718   72184.7407091216 72183.9100000000     0.8307091216
221    239   A-5741   16598.1549322644 16597.2000000000     0.9549322644
24     24    A-5532   47960.0673489184 47959.0000000000     1.0673489184
212    229   A-5715   38601.5533743569 38600.3900000000     1.1633743569
237    254   A-5745   132940.128407283 132938.910000000     1.2184072834
131    147   A-5635   154763.818886255 154762.530000000     1.2888862550
154    170   A-5661    9748.1700608414  9746.8800000000     1.2900608414
186    203   A-5678   96241.9341121205 96240.6400000000     1.2941121205
129    145   A-5619   93468.5813777061 93465.1900000000     3.3913777061
156    172   A-5657   50927.6879448383 50924.2600000000     3.4279448383
95     110   A-5579   55816.6434217132 55813.1500000000     3.4934217132
223    241   A-5727   21893.3436922044 21888.6800000000     4.6636922044
119    134   A-5596   17598.8339208600 17593.9500000000     4.8839208600
160    177   A-5663   14273.7299429050 14268.0000000000     5.7299429050
218    236   A-5693   58629.4804990099 58623.3100000000     6.1704990099
28     28    A-5511   29360.9899999380 29351.0000000000     9.9899999380
44     47    A-5537   70252.0046982262 70236.8300000000    15.1746982262
168    185   A-5666    9648.8307500000  9500.0000000000   148.8307500000
